Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8682750463485718;-53.744312286376953
6000499;-52.048210144042969;-104.44097137451172
12000498;-55.627262115478516;-98.057266235351563
18000497;-42.194370269775391;-100.18798828125
24000496;-42.860282897949219;-93.815895080566406
30000495;-51.192623138427734;-91.968414306640625
36000494;-39.409358978271484;-94.427284240722656
42000493;-41.767898559570313;-97.665542602539063
48000492;-30.818721771240234;-91.25341796875
54000491;-39.37530517578125;-89.665153503417969
60000490;-46.722805023193359;-86.665237426757813
66000489;-42.320911407470703;-124.55477142333984
72000488;-49.488372802734375;-99.19561767578125
78000487;-49.875186920166016;-94.751205444335938
84000486;-41.361480712890625;-75.960594177246094
90000485;-41.826213836669922;-82.75299072265625
96000484;-36.848442077636719;-64.905776977539062
102000483;-38.553562164306641;-60.893302917480469
108000482;-44.760086059570312;-93.061500549316406
114000481;-64.021324157714844;-99.69439697265625
120000480;-54.0379638671875;-86.733551025390625
126000479;-51.760955810546875;-93.625503540039063
132000478;-53.041427612304688;-98.483169555664063
138000477;-64.370368957519531;-97.580314636230469
144000476;-54.385890960693359;-92.941940307617188
150000475;-62.597908020019531;-96.57086181640625
156000474;-50.536602020263672;-108.12966918945312
162000473;-49.313972473144531;-96.604408264160156
168000472;-40.173633575439453;-87.963798522949219
174000471;-53.033893585205078;-94.947189331054688
180000470;-32.415016174316406;-63.026813507080078
186000469;-31.815666198730469;-73.098236083984375
192000468;-33.672599792480469;-69.625289916992187
198000467;-48.052532196044922;-95.330154418945313
204000466;-52.272937774658203;-97.285728454589844
210000465;-62.545700073242187;-95.006355285644531
216000464;-51.11236572265625;-104.73203277587891
222000463;-65.652297973632812;-94.854743957519531
228000462;-55.575107574462891;-88.337882995605469
234000461;-64.932174682617187;-91.536026000976563
240000460;-52.365249633789063;-92.019912719726563
246000459;-60.66925048828125;-101.22233581542969
252000458;-54.202384948730469;-98.279754638671875
258000457;-60.653633117675781;-94.593421936035156
264000456;-51.427322387695313;-97.630584716796875
270000455;-69.508735656738281;-109.63653564453125
276000454;-59.467975616455078;-95.6619873046875
282000453;-65.003952026367188;-113.77849578857422
288000452;-68.542533874511719;-97.405250549316406
294000451;-57.185665130615234;-94.98651123046875
300000450;-61.394439697265625;-95.218574523925781
306000449;-64.280784606933594;-95.434051513671875
312000448;-58.625343322753906;-103.76802062988281
318000447;-56.626716613769531;-93.370002746582031
324000446;-61.644977569580078;-99.622451782226562
330000445;-65.109001159667969;-113.74517059326172
336000444;-62.149238586425781;-93.9571533203125
342000443;-57.257568359375;-101.14217376708984
348000442;-62.834129333496094;-95.619598388671875
354000441;-58.810585021972656;-99.750495910644531
360000440;-58.054573059082031;-103.77304840087891
366000439;-54.057086944580078;-87.384979248046875
372000438;-60.71014404296875;-87.644622802734375
378000437;-64.5194091796875;-101.30375671386719
384000436;-50.193679809570313;-106.52268218994141
390000435;-46.436794281005859;-89.280326843261719
396000434;-56.557605743408203;-96.443161010742188
402000433;-54.659069061279297;-114.931884765625
408000432;-55.253128051757812;-100.09705352783203
414000431;-44.025753021240234;-92.609603881835938
420000430;-35.16925048828125;-73.291091918945313
426000429;-46.632431030273438;-105.41514587402344
432000428;-49.880851745605469;-101.56111907958984
438000427;-69.099617004394531;-93.3458251953125
444000426;-53.496299743652344;-95.602798461914063
450000425;-60.055423736572266;-95.211334228515625
456000424;-59.192073822021484;-96.900917053222656
462000423;-57.852325439453125;-88.479759216308594
468000422;-63.410198211669922;-99.355827331542969
474000421;-53.994739532470703;-93.522651672363281
480000420;-63.185848236083984;-95.334403991699219
486000419;-66.825408935546875;-92.202651977539063
492000418;-59.617622375488281;-98.058670043945313
498000417;-68.803901672363281;-98.886711120605469
504000416;-64.763877868652344;-117.02298736572266
510000415;-66.92901611328125;-112.82236480712891
516000414;-46.635608673095703;-98.192855834960938
522000413;-48.4105224609375;-72.831581115722656
528000412;-57.176685333251953;-99.1650390625
534000411;-70.684097290039063;-103.09062194824219
540000410;-66.816032409667969;-104.02157592773437
546000409;-68.912948608398438;-97.000442504882813
552000408;-69.946311950683594;-102.97331237792969
558000407;-68.634201049804688;-103.74618530273437
564000406;-71.046905517578125;-102.56720733642578
570000405;-52.274097442626953;-104.73741149902344
576000404;-46.298835754394531;-67.894309997558594
582000403;-44.985298156738281;-98.42474365234375
588000402;-71.263313293457031;-116.88703918457031
594000401;-70.137428283691406;-103.95384979248047
600000400;-71.571182250976562;-105.96997833251953
606000399;-69.2041015625;-105.08042907714844
612000398;-69.611137390136719;-99.876747131347656
618000397;-71.354339599609375;-101.72872161865234
624000396;-67.274246215820313;-102.14967346191406
630000395;-71.302993774414062;-94.847267150878906
636000394;-69.6385498046875;-107.32205200195312
642000393;-65.543533325195313;-100.53756713867187
648000392;-68.136344909667969;-95.109046936035156
654000391;-67.823043823242187;-107.18891906738281
660000390;-71.453659057617188;-97.723182678222656
666000389;-70.136054992675781;-95.304985046386719
672000388;-71.533103942871094;-107.89768218994141
678000387;-70.198745727539062;-101.49625396728516
684000386;-66.26239013671875;-99.94964599609375
690000385;-63.344772338867187;-102.13471221923828
696000384;-67.207473754882813;-100.35570526123047
702000383;-71.798728942871094;-94.28546142578125
708000382;-71.272415161132813;-100.76396942138672
714000381;-69.182960510253906;-104.65911102294922
720000380;-70.98907470703125;-97.12451171875
726000379;-55.355766296386719;-89.290184020996094
732000378;-54.067462921142578;-85.695846557617187
738000377;-69.525650024414063;-105.47062683105469
744000376;-71.538047790527344;-101.06692504882812
750000375;-69.997573852539063;-97.283592224121094
756000374;-71.430625915527344;-103.94416046142578
762000373;-66.72747802734375;-96.469749450683594
768000372;-59.294277191162109;-89.210357666015625
774000371;-58.459636688232422;-113.55672454833984
780000370;-71.240409851074219;-96.872047424316406
786000369;-56.329917907714844;-101.74786376953125
792000368;-46.731418609619141;-83.874656677246094
798000367;-48.669544219970703;-81.153114318847656
804000366;-58.136589050292969;-88.487564086914063
810000365;-63.833324432373047;-95.83966064453125
816000364;-62.875972747802734;-95.498039245605469
822000363;-67.693450927734375;-100.20243072509766
828000362;-71.717544555664063;-99.683723449707031
834000361;-71.208320617675781;-104.71430969238281
840000360;-71.380508422851563;-99.079490661621094
846000359;-71.271781921386719;-98.715385437011719
852000358;-69.621810913085938;-106.77671813964844
858000357;-71.615921020507813;-100.91950225830078
864000356;-71.277587890625;-99.4351806640625
870000355;-69.018356323242188;-100.94972991943359
876000354;-69.3973388671875;-103.31772613525391
882000353;-69.917259216308594;-102.56873321533203
888000352;-69.749687194824219;-98.802696228027344
894000351;-68.695648193359375;-100.9635009765625
900000350;-69.770355224609375;-111.69026184082031
906000349;-70.718650817871094;-99.696388244628906
912000348;-72.32659912109375;-110.86048889160156
918000347;-69.742439270019531;-97.213729858398438
924000346;-61.591197967529297;-97.548927307128906
930000345;-53.475776672363281;-88.423652648925781
936000344;-26.162927627563477;-55.569770812988281
