Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8459396362304687;-52.943401336669922
6000499;-52.870189666748047;-90.934669494628906
12000498;-65.281600952148437;-98.723625183105469
18000497;-51.398269653320313;-109.84877777099609
24000496;-65.704124450683594;-90.78631591796875
30000495;-66.831001281738281;-111.44860076904297
36000494;-65.933097839355469;-94.048294067382813
42000493;-59.055675506591797;-88.09954833984375
48000492;-61.807357788085937;-87.201797485351562
54000491;-69.039871215820313;-93.987953186035156
60000490;-69.844924926757812;-107.65616607666016
66000489;-69.528717041015625;-103.20206451416016
72000488;-69.618377685546875;-108.30393218994141
78000487;-62.367362976074219;-105.9071044921875
84000486;-47.049381256103516;-84.183631896972656
90000485;-41.447296142578125;-71.635261535644531
96000484;-32.707435607910156;-55.689716339111328
102000483;-36.095481872558594;-61.221622467041016
108000482;-47.598079681396484;-97.059257507324219
114000481;-69.388992309570313;-97.338539123535156
120000480;-70.748664855957031;-102.32006072998047
126000479;-70.715721130371094;-101.21416473388672
132000478;-67.777069091796875;-112.06739044189453
138000477;-68.093742370605469;-101.07437896728516
144000476;-64.559112548828125;-135.22877502441406
150000475;-67.92486572265625;-99.36126708984375
156000474;-69.783851623535156;-107.57370758056641
162000473;-64.807731628417969;-100.34915924072266
168000472;-62.311904907226563;-92.484222412109375
174000471;-63.683395385742188;-92.584861755371094
180000470;-46.247711181640625;-86.092399597167969
186000469;-39.897617340087891;-98.104255676269531
192000468;-38.917575836181641;-73.146919250488281
198000467;-61.999004364013672;-101.65678405761719
204000466;-69.9234619140625;-103.47241973876953
210000465;-68.143989562988281;-104.17360687255859
216000464;-69.786956787109375;-95.574684143066406
222000463;-67.289833068847656;-97.696182250976563
228000462;-67.980133056640625;-93.095390319824219
234000461;-59.495143890380859;-93.699440002441406
240000460;-70.502189636230469;-99.761734008789063
246000459;-65.536293029785156;-90.640754699707031
252000458;-68.058143615722656;-106.87073516845703
258000457;-71.366310119628906;-96.5390625
264000456;-72.060356140136719;-109.64202117919922
270000455;-69.78961181640625;-108.54006958007812
276000454;-62.205730438232422;-102.13678741455078
282000453;-69.703506469726563;-103.47586822509766
288000452;-67.591049194335938;-114.98463439941406
294000451;-67.850669860839844;-111.50100708007812
300000450;-65.355934143066406;-93.435325622558594
306000449;-68.39251708984375;-100.67134094238281
312000448;-68.550079345703125;-94.934280395507812
318000447;-68.602088928222656;-106.48214721679687
324000446;-70.448623657226562;-106.00900268554687
330000445;-67.825531005859375;-99.386695861816406
336000444;-68.280853271484375;-104.18280029296875
342000443;-70.918441772460938;-102.36525726318359
348000442;-67.80902099609375;-104.26565551757812
354000441;-67.714248657226562;-98.273750305175781
360000440;-56.566165924072266;-92.942108154296875
366000439;-52.419601440429687;-84.268562316894531
372000438;-66.175430297851563;-92.663551330566406
378000437;-58.740570068359375;-101.52577972412109
384000436;-54.747287750244141;-96.7777099609375
390000435;-46.384841918945313;-87.080963134765625
396000434;-68.648796081542969;-101.96404266357422
402000433;-69.358604431152344;-116.14584350585937
408000432;-70.05804443359375;-107.85951232910156
414000431;-48.435749053955078;-99.409019470214844
420000430;-43.936557769775391;-71.18658447265625
426000429;-52.115097045898437;-83.595085144042969
432000428;-57.634315490722656;-97.396949768066406
438000427;-69.456932067871094;-108.81169891357422
444000426;-70.131057739257813;-92.830421447753906
450000425;-71.090095520019531;-106.93052673339844
456000424;-53.023929595947266;-93.570075988769531
462000423;-51.823947906494141;-85.378936767578125
468000422;-56.169963836669922;-100.81655883789062
474000421;-70.725608825683594;-114.28819274902344
480000420;-70.591934204101562;-103.03945159912109
486000419;-71.3443603515625;-96.792129516601562
492000418;-69.845428466796875;-97.182945251464844
498000417;-65.998641967773438;-102.61980438232422
504000416;-67.053367614746094;-100.81258392333984
510000415;-66.361129760742188;-95.84515380859375
516000414;-44.512111663818359;-88.186256408691406
522000413;-42.829944610595703;-72.298759460449219
528000412;-56.85467529296875;-109.49372100830078
534000411;-71.77178955078125;-102.88745880126953
540000410;-66.5943603515625;-100.46614074707031
546000409;-69.617271423339844;-95.724693298339844
552000408;-69.410346984863281;-107.27621459960937
558000407;-70.326934814453125;-90.269432067871094
564000406;-70.5390625;-99.531013488769531
570000405;-47.547409057617188;-89.396659851074219
576000404;-38.006679534912109;-70.127159118652344
582000403;-42.481403350830078;-87.276527404785156
588000402;-70.839096069335938;-99.356216430664063
594000401;-70.012039184570313;-97.259979248046875
600000400;-71.547454833984375;-103.83016204833984
606000399;-71.310478210449219;-100.52864837646484
612000398;-70.884109497070313;-119.73241424560547
618000397;-71.409843444824219;-95.576026916503906
624000396;-71.110733032226562;-98.9473876953125
630000395;-70.216300964355469;-101.60799407958984
636000394;-71.624771118164062;-117.72273254394531
642000393;-71.831382751464844;-105.63660430908203
648000392;-71.548057556152344;-106.32048797607422
654000391;-70.458084106445313;-95.245834350585938
660000390;-69.30010986328125;-103.96791076660156
666000389;-71.478080749511719;-103.93867492675781
672000388;-71.212074279785156;-101.38130187988281
678000387;-69.922431945800781;-97.182357788085938
684000386;-68.944740295410156;-101.75445556640625
690000385;-65.532974243164062;-98.721641540527344
696000384;-70.640365600585938;-106.70919036865234
702000383;-70.597640991210938;-100.22610473632812
708000382;-71.204696655273437;-100.68064880371094
714000381;-70.828254699707031;-110.04254150390625
720000380;-64.05755615234375;-102.46185302734375
726000379;-51.6492919921875;-82.901397705078125
732000378;-57.441509246826172;-90.387687683105469
738000377;-69.510124206542969;-99.295310974121094
744000376;-70.5528564453125;-102.80909729003906
750000375;-70.235626220703125;-102.18083953857422
756000374;-72.086959838867188;-105.72724914550781
762000373;-69.487991333007812;-99.507598876953125
768000372;-61.569797515869141;-105.40169525146484
774000371;-68.18798828125;-97.683143615722656
780000370;-69.618400573730469;-100.01862335205078
786000369;-60.387191772460938;-104.99404907226562
792000368;-44.1627197265625;-80.176971435546875
798000367;-46.762981414794922;-78.356109619140625
804000366;-60.188762664794922;-88.79656982421875
810000365;-65.692718505859375;-91.655517578125
816000364;-62.775871276855469;-99.934371948242188
822000363;-66.542831420898437;-97.72003173828125
828000362;-71.001350402832031;-114.71961212158203
834000361;-69.894752502441406;-113.84075927734375
840000360;-70.989425659179687;-101.12629699707031
846000359;-70.23175048828125;-105.66863250732422
852000358;-68.695701599121094;-95.817543029785156
858000357;-71.4073486328125;-99.417877197265625
864000356;-70.172843933105469;-98.156898498535156
870000355;-68.298088073730469;-102.09918975830078
876000354;-66.091087341308594;-96.475051879882813
882000353;-72.224555969238281;-99.365768432617188
888000352;-70.94342041015625;-98.957344055175781
894000351;-70.944595336914063;-101.90047454833984
900000350;-70.715408325195313;-103.86020660400391
906000349;-72.168998718261719;-99.357894897460937
912000348;-71.914871215820312;-109.61895751953125
918000347;-70.7213134765625;-99.153610229492188
924000346;-59.997867584228516;-111.33960723876953
930000345;-63.740325927734375;-96.54229736328125
936000344;-32.485797882080078;-80.014640808105469
